start_station,start_lat,start_lon,end_station,end_lat,end_lon
250,40.72456089,-73.99565293,249,40.71870987,-74.0090009
2021,40.75929124,-73.98859651,499,40.76915505,-73.98191841
449,40.76461837,-73.98789473,508,40.76341379,-73.99667444
263,40.71729,-73.996375,312,40.722055,-73.989111
528,40.74290902,-73.97706058,461,40.73587678,-73.98205027
160,40.748238,-73.978311,476,40.74394314,-73.97966069
404,40.7405826,-74.00550867,128,40.72710258,-74.00297088
224,40.71146364,-74.00552427,376,40.70862144,-74.00722156
305,40.76095756,-73.96724467,305,40.76095756,-73.96724467
527,40.744023,-73.976056,454,40.75455731,-73.96592976
527,40.744023,-73.976056,454,40.75455731,-73.96592976
470,40.74345335,-74.00004031,357,40.73261787,-73.99158043
